"","mean_diff","sd_diff","lower_loa","upper_loa"
"IQS_ANOVA_vs_IQS_Fuzzy",0,1.2261,-2.4032,2.4032
"IQS_ANOVA_vs_IQS_PLS",0,0.9182,-1.7997,1.7997
"IQS_ANOVA_vs_IQS_MARS",0.0019,1.2029,-2.3558,2.3597
"IQS_ANOVA_vs_IQS_RF",0,1.2068,-2.3653,2.3653
"IQS_Fuzzy_vs_IQS_PLS",0,0.8169,-1.6011,1.6011
"IQS_Fuzzy_vs_IQS_MARS",0.0019,0.1809,-0.3527,0.3566
"IQS_Fuzzy_vs_IQS_RF",0,0.2057,-0.4032,0.4032
"IQS_PLS_vs_IQS_MARS",0.0019,0.8053,-1.5764,1.5802
"IQS_PLS_vs_IQS_RF",0,0.8037,-1.5753,1.5753
"IQS_MARS_vs_IQS_RF",-0.0019,0.2061,-0.4058,0.402
