"Parcela","Cultura","IPACSA","IQS_RF","IQS_RF_CI_lower","IQS_RF_CI_upper"
"NT","Cowpea",5.24521674463874,5.16896317878524,4.34368687570432,5.61735458168868
"NT","Cowpea",5.24521674463874,5.19716635991332,4.43938722733204,5.67079851132639
"NT","Cowpea",5.24521674463874,5.24386707539661,4.89325948243849,5.87670510696542
"NT","Cowpea",4.1914925940812,4.19870532528612,3.83523879271809,4.87473128718435
"NT","Cowpea",4.18746952945705,4.21238148273373,3.87960027645988,5.17854852051114
"NT","Cowpea",4.14567147398812,4.19872989340818,3.85195592442316,4.98595391056485
"NT","Cowpea",3.88916825523419,3.93146504098915,3.7342173132964,4.36308887179177
"NT","Cowpea",3.94801190944643,3.97214686055788,3.81444164925857,4.30855005986576
"NT","Cowpea",3.95738821724076,3.95262638694867,3.72700803888852,4.25067249060701
"NT","Millet",3.83592219901143,3.89765530370734,3.73392204432892,4.58804612848895
"NT","Millet",4.05432798556413,4.04120451816359,3.73263162264012,5.24660081772109
"NT","Millet",3.75,3.91499611532061,3.73350605786555,4.92428058953316
"NT","Millet",4.96450843252256,4.8357884994901,3.79458955098591,5.3855410037347
"NT","Millet",5.03751431521973,4.92252270074156,3.91816860412837,5.43695720884411
"NT","Millet",4.7225604846276,4.75896188962335,3.75367689601341,5.60469409796346
"NT","Millet",7.11865567234846,6.99518845790415,5.5037135406058,7.1597067446567
"NT","Millet",7.15427938096555,7.02823132303054,5.7756632688631,7.15891328905975
"NT","Millet",7.14706621968724,6.90681632240942,5.7756632688631,7.16536221811179
"NT","Sunn hemp",6.9764875295803,6.82842623757323,5.32639340529514,7.10989088994944
"NT","Sunn hemp",6.941005236537,6.85085098577039,5.7756632688631,7.10368315510597
"NT","Sunn hemp",6.94133438379043,6.83412796384763,5.7756632688631,7.14202179726138
"NT","Sunn hemp",4.54780633254621,4.75291692103928,3.92485626025094,5.74103867211773
"NT","Sunn hemp",5.06295187676665,4.95764459904466,4.34913756304941,5.49605809262354
"NT","Sunn hemp",4.92080625606037,4.96579432979265,4.34913756304941,5.60369311278996
"NT","Sunn hemp",3.71922934113864,3.82991716177175,3.6914357487265,4.8535749406316
"NT","Sunn hemp",3.74359392092782,3.85165690406919,3.69407348996849,5.25435825236583
"NT","Sunn hemp",3.72200734916289,3.87542228049704,3.6914357487265,5.27278205613026
"NT","Pigeon pea",7.03092556946604,6.96946669189017,6.11093173766429,7.11028040270549
"NT","Pigeon pea",7.04690654668004,6.98142069386543,6.28731960187385,7.10072179589456
"NT","Pigeon pea",7.06722822797324,6.95249914326603,5.79884601391878,7.14161263218715
"NT","Pigeon pea",4.44889911128849,4.4778055814235,3.96023364930315,5.24521674463874
