"Parcela","Cultura","Combo","DMG_norm","DMP_norm","RMP_norm","Densidade_norm","Estoque.de.C_norm","Na_norm","ICV..._norm","pH_norm","P_norm","K_norm","Altura.de.Plantas_norm","Diâmetro.espiga_norm","Comprimento.espiga_norm","Número.de.plantas_ha_norm","N.total.de.espigas_ha_norm","N.de.espigas.comerciais_ha_norm","Peso.de.espigas.comerciais_ha_norm","Produtividade_norm","Ca_norm","Mg_norm","Al_norm","CTC_norm","MOS_norm","EstN_norm","MI_norm","MA_norm","VIB_norm","RP_norm","AD_PT_norm","qMIC_norm","qCO2_norm","CCO2_norm","CMIC_norm","NMIC_norm","IPACSA","IQS_ANOVA","IQS_Fuzzy","IQS_PLS","IQS_MARS","IQS_RF","MetaIQS_Borda","pH_0_10","P_0_10","K_0_10","Ca_cmolc_dm3","Mg_cmolc_dm3","Al_cmolc_dm3","T_cmolc_dm3","MOS_g_kg","EstN_kg_ha","MI_pct","MA_pct","VIB_mm_h","RP_KPa","AD_PT","qMIC","qCO2","CCO2_g_kg","CMIC_ug_g","NMIC_mg_kg"
"CT","Cowpea","CT_Cowpea",0.422359081694417,0.556107040147235,9.50421855063334,9.11416621623441,1.66956645814554,9.34372436423298,6.57894736842105,3.36683417085427,3.87454120787454,0,4,2.29166666666667,2.89473684210526,5.71428571428572,5.4,3.78787878787879,3.52201257861635,3.78787878787879,0,0,1.9,0,0,1.73287971622058,0,4.24846489276497,0.19047619047619,10,2.67,2.71127890657789,1.4732335645396,3.92929947018754,1.99118728748872,7.07920345194894,5.79884601391878,1.41601465940683,5.79884601391878,4.50384402292855,5.83880317162691,5.72592574630559,56.8,4.685,57.455,59.817,1.04,0.54,0.05,3.27,10.6333,712.0433,19.86,15.4933,12,1.3133,0.1967,22.2667,4.7833,87.01,93.78,13.5533
"CT","Cowpea","CT_Cowpea",0,0,10,8.88290872401242,1.66956645814554,9.24528301886792,6.57894736842105,3.36683417085427,3.87454120787454,0,1.42857142857143,2.29166666666667,2.89473684210526,5.71428571428572,5.4,3.78787878787879,3.52201257861635,3.78787878787879,0,0,1.9,0,0,1.73287971622058,0,4.24846489276497,0.19047619047619,10,2.67,2.71127890657789,1.4732335645396,3.92929947018754,1.99118728748872,7.07920345194894,5.79884601391878,1.07058971031415,5.79884601391878,4.15411678092406,5.8388031716269,5.74257446836214,54.2,4.685,57.455,59.817,1.04,0.54,0.05,3.27,10.6333,712.0433,19.86,15.4933,12,1.3133,0.1967,22.2667,4.7833,87.01,93.78,13.5533
"CT","Cowpea","CT_Cowpea",0,0,10,9.45752479790639,0.918633551401337,7.44052502050861,6.57894736842105,3.36683417085427,3.87454120787454,0,4,2.29166666666667,2.89473684210526,5.71428571428572,5.4,3.78787878787879,3.52201257861635,3.78787878787879,0,0,1.9,0,0,1.73287971622058,0,4.24846489276497,0.19047619047619,10,2.67,2.71127890657789,1.4732335645396,3.92929947018754,1.99118728748872,7.07920345194894,5.79884601391878,1.45435087492817,5.79884601391878,4.59263532639645,5.83880317162692,5.74656246325786,58.4,4.685,57.455,59.817,1.04,0.54,0.05,3.27,10.6333,712.0433,19.86,15.4933,12,1.3133,0.1967,22.2667,4.7833,87.01,93.78,13.5533
"CT","Cowpea","CT_Cowpea",0.791515169844989,1.19555449991795,8.99729174447758,8.96286894166206,1.44625325628645,9.70467596390484,0,3.36683417085427,3.87454120787454,0,5.71428571428572,7.08333333333333,1.05263157894737,5.71428571428572,4.6,4.09090909090909,4.84276729559748,4.09090909090909,0,0,1.9,0,0,1.73287971622058,0,4.24846489276497,0.19047619047619,10,2.67,2.71127890657789,1.4732335645396,3.92929947018754,1.99118728748872,7.07920345194894,5.7756632688631,1.40307709602362,5.7756632688631,4.86343548294434,5.83283323437007,5.80067969780525,58,4.685,57.455,59.817,1.04,0.54,0.05,3.27,10.6333,712.0433,19.86,15.4933,12,1.3133,0.1967,22.2667,4.7833,87.01,93.78,13.5533
"CT","Cowpea","CT_Cowpea",0.356671747293989,0.427737347825617,9.60221351134913,9.04988447263373,1.33925973780928,5.20918785890074,0,3.36683417085427,3.87454120787454,0,3.57142857142857,7.08333333333333,1.05263157894737,5.71428571428572,4.6,4.09090909090909,4.84276729559748,4.09090909090909,0,0,1.9,0,0,1.73287971622058,0,4.24846489276497,0.19047619047619,10,2.67,2.71127890657789,1.4732335645396,3.92929947018754,1.99118728748872,7.07920345194894,5.7756632688631,1.3947282420196,5.7756632688631,4.73341156397064,5.83283323437006,5.79045921138856,57,4.685,57.455,59.817,1.04,0.54,0.05,3.27,10.6333,712.0433,19.86,15.4933,12,1.3133,0.1967,22.2667,4.7833,87.01,93.78,13.5533
"CT","Cowpea","CT_Cowpea",0.156697740257547,0,9.99685837569058,9.1369000036054,1.23226621933212,8.09680065627564,0,3.36683417085427,3.87454120787454,0,2.85714285714286,7.08333333333333,1.05263157894737,5.71428571428572,4.6,4.09090909090909,4.84276729559748,4.09090909090909,0,0,1.9,0,0,1.73287971622058,0,4.24846489276497,0.19047619047619,10,2.67,2.71127890657789,1.4732335645396,3.92929947018754,1.99118728748872,7.07920345194894,5.7756632688631,1.03939751956334,5.7756632688631,4.53399977699469,5.83283323437006,5.78628423768679,54.6,4.685,57.455,59.817,1.04,0.54,0.05,3.27,10.6333,712.0433,19.86,15.4933,12,1.3133,0.1967,22.2667,4.7833,87.01,93.78,13.5533
"CT","Cowpea","CT_Cowpea",1.30772835651387,2.36202670372299,8.14295691602662,9.14317139322497,1.13714741190522,7.52813781788351,2.36842105263158,3.36683417085427,3.87454120787454,0,5.71428571428572,6.45833333333333,2.10526315789473,10,10,8.93939393939394,8.93081761006289,8.93939393939394,0,0,1.9,0,0,1.73287971622058,0,4.24846489276497,0.19047619047619,10,2.67,2.71127890657789,1.4732335645396,3.92929947018754,1.99118728748872,7.07920345194894,5.93798832193484,2.30255875729928,5.93798832193484,7.03388164677974,6.09710118999649,6.07211583363404,72,4.685,57.455,59.817,1.04,0.54,0.05,3.27,10.6333,712.0433,19.86,15.4933,12,1.3133,0.1967,22.2667,4.7833,87.01,93.78,13.5533
"CT","Cowpea","CT_Cowpea",0.527158942178476,0.783669734452101,9.33571632656044,9.16590518059594,1.11065767187,7.52813781788351,2.36842105263158,3.36683417085427,3.87454120787454,0,7.85714285714286,6.45833333333333,2.10526315789473,10,10,8.93939393939394,8.93081761006289,8.93939393939394,0,0,1.9,0,0,1.73287971622058,0,4.24846489276497,0.19047619047619,10,2.67,2.71127890657789,1.4732335645396,3.92929947018754,1.99118728748872,7.07920345194894,6.12537403097872,2.1418446026867,6.12537403097872,7.34013787234752,6.09710118999649,6.09896972455519,74.2,4.685,57.455,59.817,1.04,0.54,0.05,3.27,10.6333,712.0433,19.86,15.4933,12,1.3133,0.1967,22.2667,4.7833,87.01,93.78,13.5533
"CT","Cowpea","CT_Cowpea",0.0577162327358155,0.107058380650119,9.90740698700169,9.1964782049914,1.07503353871919,7.52813781788351,2.36842105263158,3.36683417085427,3.87454120787454,0,5.71428571428572,6.45833333333333,2.10526315789473,10,10,8.93939393939394,8.93081761006289,8.93939393939394,0,0,1.9,0,0,1.73287971622058,0,4.24846489276497,0.19047619047619,10,2.67,2.71127890657789,1.4732335645396,3.92929947018754,1.99118728748872,7.07920345194894,6.17329088755293,1.81180454445021,6.17329088755293,7.04687349013285,6.09710118999649,6.07547361517726,71.2,4.685,57.455,59.817,1.04,0.54,0.05,3.27,10.6333,712.0433,19.86,15.4933,12,1.3133,0.1967,22.2667,4.7833,87.01,93.78,13.5533
"CT","Millet","CT_Millet",2.49426029393167,3.655911748983,6.92037631286494,8.8460643099974,1.33419292527445,9.21246923707957,4.47368421052631,2.71356783919598,7.11333555778,0.866729500471255,2.85714285714286,2.91666666666666,1.84210526315789,5.71428571428572,3.8,1.06060606060606,0.754716981132075,1.06060606060606,2.5825,2.59333333333333,2.37142857142857,4.27883844055832,4.50980392156863,4.65269267978071,4.41102756892231,1.21622022485242,0,7.11924739384694,10,1.44648259385795,4.29889052978402,10,1.32086600513497,9.29588907544819,4.72216788598004,1.82321864788259,4.72216788598004,2.89818707064105,4.65293724293863,4.73635762167011,32.9,4.62,72.015,64.415,1.1433,0.6567,0.0533,3.5367,12.9333,802.5867,21.62,12.4267,6,1.0867,0.27,15.6067,10.0833,159.1967,74.46,17.2367
