"Variable","IncMSE","IncPurity","Dominio","Label","Label_f"
"N.total.de.espigas_ha_norm",20.2159857231518,30.4621360042877,"Rendimento","NESP","NESP"
"Número.de.plantas_ha_norm",19.4944483586787,23.5095597653659,"Agronômico","STAND","STAND"
"N.de.espigas.comerciais_ha_norm",13.1852025377435,8.44184734389414,"Rendimento","NESPC","NESPC"
"Produtividade_norm",13.1526960131611,8.02031420706055,"Rendimento","PROD","PROD"
"Peso.de.espigas.comerciais_ha_norm",12.5132499791399,8.26458140616835,"Rendimento","PESP","PESP"
"Diâmetro.espiga_norm",12.3343804216779,9.37505666405712,"Agronômico","DESP","DESP"
"ICV..._norm",11.1859119076426,5.95075997054421,"Físico","ICV","ICV"
"Comprimento.espiga_norm",11.1274738822883,5.26849818026978,"Agronômico","CESP","CESP"
"P_norm",8.04326123016902,3.00703162480247,"Químico","P","P"
"Ca_norm",7.63122644563666,1.32445447477879,"Químico","Ca","Ca"
"MOS_norm",7.35027859981547,1.67955424245843,"Químico","MOS","MOS"
"CTC_norm",6.67673187764038,1.47805518589746,"Químico","CTC","CTC"
"K_norm",6.64034572986162,1.81093026703096,"Químico","K","K"
"MI_norm",6.46663661312831,1.15801375435094,"Físico","MI","MI"
"pH_norm",6.37940881872646,1.34545492310716,"Químico","pH","pH"
"EstN_norm",6.10928020747179,1.36112603985822,"Químico","EstN","EstN"
"Al_norm",6.09053232898966,1.22540207651734,"Químico","Al","Al"
"qMIC_norm",5.89441203496241,1.11191758293849,"Microbiológico","qMIC","qMIC"
"CMIC_norm",5.63910055424454,0.973192327223407,"Microbiológico","CMIC","CMIC"
"AD_PT_norm",5.51277063273715,1.19642837016546,"Físico","AD/PT","AD/PT"
"VIB_norm",5.38917330224233,1.16099128987844,"Físico","VIB","VIB"
"CCO2_norm",5.23031465580426,1.11690029804667,"Microbiológico","CCO2","CCO2"
"NMIC_norm",5.08636058884387,1.15349150245636,"Microbiológico","NMIC","NMIC"
"RP_norm",4.96355264250106,0.859129869137105,"Físico","RP","RP"
"Mg_norm",4.68131248026236,0.599029787207673,"Químico","Mg","Mg"
"RMP_norm",4.52762546174498,1.29236934001294,"Físico","RMP","RMP"
"qCO2_norm",4.38123229218123,0.801054282269276,"Microbiológico","qCO2","qCO2"
"MA_norm",4.30697917068188,0.995588248174924,"Físico","MA","MA"
"Estoque.de.C_norm",4.17744207489405,1.77758191199706,"Físico","COS","COS"
"DMG_norm",3.87492550469706,1.10373554479132,"Físico","DMG","DMG"
"Altura.de.Plantas_norm",3.40019917955433,1.39351515235462,"Agronômico","ALT","ALT"
"DMP_norm",3.29933448179817,1.56390428443648,"Físico","DMP","DMP"
"Na_norm",2.96571299907839,1.10070494303725,"Físico","Na","Na"
"Densidade_norm",2.95452928158694,1.04705905772343,"Físico","Ds","Ds"
