"Combo","IQS_ANOVA","IQS_Fuzzy","IQS_PLS","IQS_MARS","IQS_RF","MetaIQS_Borda","Rank_IQS_ANOVA","Rank_IQS_Fuzzy","Rank_IQS_PLS","Rank_IQS_MARS","Rank_IQS_RF"
"MT_Pigeon pea",7.81508449449969,6.43163005173773,9.43549557680251,6.43038943427108,6.42059992995409,92.5555555555556,2,1,1,1,1
"MT_Cowpea",6.92269949307441,5.38624799066182,7.28964445365885,5.37082055505911,5.38686022037228,68,4,6,2,6,6
"MT_Millet",7.3287988261145,5.47339758553019,6.3492843898731,5.48290673397356,5.47372825434282,68,3,5,5,5,5
"NT_Pigeon pea",6.21355767977369,5.59280481963626,6.64714702971802,5.59745558105366,5.57581154135099,66.4,7,3,4,3,3
"MT_Sunn hemp",6.52725744578017,5.59048236476469,6.75213311580913,5.57646805413053,5.57274701719402,66.2222222222222,6,4,3,4,4
"NT_Millet",9.02360979867488,5.30942607666074,4.46549529498037,5.29000869339705,5.28044233260405,63.2,1,7,7,7,7
"CT_Cowpea",1.55937400074354,5.88446456542357,5.4224817737132,5.92291253199782,5.87100499979697,61.8222222222222,10,2,6,2,2
"NT_Sunn hemp",6.69206578824548,5.17502469183448,4.03626646493689,5.20926860395585,5.17743820459669,51.9111111111111,5,8,8,8,8
"CT_Sunn hemp",2.26892181656354,4.87073293008406,3.89637183164577,4.85863613127757,4.85604040096096,36.7111111111111,9,9,9,9,9
"NT_Cowpea",4.94439604427935,4.45053913481822,3.6395328328573,4.43624083474096,4.45648886089031,35.3333333333333,8,10,10,10,10
"CT_Millet",1.45415089448353,4.40445036933605,2.92177469610141,4.40445036933605,4.42481434062547,25.6,11,11,11,11,11
"CT_Pigeon pea",0.491230987201249,4.30958777091726,0.582278926784996,4.29923082821184,4.32453993949836,18.2444444444444,12,12,12,12,12
