"Component","Eigenvalue","VarExplained_pct","CumVar_pct","Retained"
"PC1",8.2301,24.21,24.21,"Yes"
"PC2",5.695,16.75,40.96,"Yes"
"PC3",3.2837,9.66,50.61,"Yes"
"PC4",2.9344,8.63,59.24,"Yes"
"PC5",2.5657,7.55,66.79,"Yes"
"PC6",2.4352,7.16,73.95,"Yes"
"PC7",1.7942,5.28,79.23,"Yes"
"PC8",1.4713,4.33,83.56,"Yes"
"PC9",0.9953,2.93,86.48,"No"
"PC10",0.924,2.72,89.2,"No"
"PC11",0.6632,1.95,91.15,"No"
"PC12",0.6064,1.78,92.94,"No"
"PC13",0.5363,1.58,94.51,"No"
"PC14",0.3959,1.16,95.68,"No"
"PC15",0.362,1.06,96.74,"No"
"PC16",0.342,1.01,97.75,"No"
"PC17",0.3172,0.93,98.68,"No"
"PC18",0.1424,0.42,99.1,"No"
"PC19",0.1112,0.33,99.43,"No"
"PC20",0.0929,0.27,99.7,"No"
"PC21",0.0509,0.15,99.85,"No"
"PC22",0.0322,0.09,99.95,"No"
"PC23",0.0112,0.03,99.98,"No"
"PC24",0.0051,0.02,99.99,"No"
"PC25",0.0022,0.01,100,"No"
"PC26",0,0,100,"No"
"PC27",0,0,100,"No"
"PC28",0,0,100,"No"
"PC29",0,0,100,"No"
"PC30",0,0,100,"No"
"PC31",0,0,100,"No"
"PC32",0,0,100,"No"
"PC33",0,0,100,"No"
"PC34",0,0,100,"No"
