"Indicator","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8"
"DMG",0.1755,-0.0558,0.2168,-0.1149,0.3594,-0.0571,0.2372,-0.0547
"DMP",0.1934,-0.024,0.2329,-0.1108,0.333,-0.0489,0.2375,-0.0606
"RMP",-0.189,0.0435,-0.2353,0.1119,-0.3557,0.0543,-0.2243,0.0501
"Ds",-0.0343,0.0097,-0.2313,0.0175,0.3584,-0.3818,-0.1078,0.1405
"COS",0.0469,-0.033,0.2326,-0.0302,-0.3679,0.371,0.1372,-0.1047
"Na",-0.0801,0.0312,-0.0048,-0.0585,0.1263,0.1597,-0.1237,-0.1605
"ICV",0.1376,0.025,0.154,0.1511,-0.2322,-0.1299,-0.1674,-0.2011
"pH",0.0167,0.1846,0.2913,0.1108,-0.2255,-0.1507,0.2685,0.0577
"P",-0.1986,-0.1637,-0.0079,0.0788,0.0946,-0.0357,0.0764,-0.4721
"K",0.2655,-0.0255,0.1401,0.017,0.068,0.0192,-0.2805,0.1118
"Ca",0.1398,-0.0565,-0.0972,0.4269,0.0622,0.1889,0.0592,-0.1709
"Mg",0.1886,-0.2204,-0.0868,0.2321,-0.024,0.0089,-0.1718,-0.0574
"Al",-0.0207,0.2824,0.2804,-0.1067,0.0825,0.1353,-0.1134,0.1423
"CTC",0.1924,0.0118,0.1012,0.1921,0.1845,0.303,-0.0947,-0.2025
"MOS",0.3086,-0.0672,0.0848,0.0954,0.0033,-0.0192,-0.1716,-0.0807
"EstN",0.287,-0.0493,0.14,-0.0946,-0.0698,-0.0272,-0.2088,0.2051
"MI",0.2421,-0.1574,0.1035,0.0733,0.0154,0.1666,-0.1278,0.288
"MA",0.037,0.391,-0.0043,0.08,0.0785,0.0761,0.0406,-0.1206
"VIB",0.0524,0.2589,-0.1552,0.2862,0.0523,-0.0103,0.1995,-0.2289
"RP",-0.1658,-0.1119,0.052,-0.247,-0.0713,0.2303,0.1978,0.1275
"AD/PT",-0.1267,-0.3003,-0.0286,0.0312,-0.0118,-0.1434,-0.273,-0.0939
"qMIC",-0.0413,0.3488,0.1507,-0.0098,-0.0797,-0.1611,-0.1104,-0.0038
"qCO2",0.0055,0.2889,-0.1623,-0.0315,0.1305,0.1844,-0.2284,0.1648
"CCO2",-0.0188,-0.0672,0.3454,-0.0563,-0.2077,-0.2654,-0.0264,-0.2324
"CMIC",0.0227,0.3619,0.1267,0.0112,-0.0487,-0.1534,-0.1743,-0.0426
"NMIC",0.0958,0.0785,-0.046,-0.2011,-0.0587,-0.3627,-0.1237,-0.2336
"ALT",0.2509,0.0807,-0.1455,0.0616,-0.186,-0.0749,0.0936,0.0073
"DESP",0.148,0.1816,-0.1142,-0.1163,0.0803,0.1769,-0.2009,-0.2529
"CESP",0.2321,-0.2251,0.0566,-0.0541,-0.0897,-0.1381,-0.0082,-0.0333
"STAND",0.0288,-0.0066,-0.0431,-0.3986,0.0044,0.1797,-0.1668,-0.3251
"NESP",0.1095,-0.0084,-0.167,-0.4552,-0.0638,0.0841,-0.0489,-0.1571
"NESPC",0.2647,0.0534,-0.2591,-0.0956,-0.1131,-0.038,0.2095,-0.0036
"PESP",0.278,0.0357,-0.2205,-0.0903,-0.1404,-0.0585,0.1714,0.0692
"PROD",0.2647,0.0534,-0.2591,-0.0956,-0.1131,-0.038,0.2095,-0.0036
