"Indicator","Construct","Retained","VIF_final"
"DMG","PHYSICAL",TRUE,1.15
"ECOS","PHYSICAL",TRUE,1.5
"NAG","PHYSICAL",TRUE,1.04
"ICV","PHYSICAL",TRUE,1.44
"MI","PHYSICAL",TRUE,1.67
"MA","PHYSICAL",TRUE,4.45
"VIB","PHYSICAL",TRUE,3.12
"RP","PHYSICAL",TRUE,2.27
"ADPT","PHYSICAL",TRUE,2.88
"PH","CHEMICAL",TRUE,1.14
"PHOS","CHEMICAL",TRUE,2.16
"KPOT","CHEMICAL",TRUE,2.69
"CA","CHEMICAL",FALSE,NA
"MG","CHEMICAL",TRUE,1.49
"CTC","CHEMICAL",TRUE,1.54
"MOS","CHEMICAL",FALSE,NA
"ESTN","CHEMICAL",TRUE,3.2
"QMIC","MICRO",TRUE,1.99
"QCO2","MICRO",TRUE,2.53
"CCO2","MICRO",TRUE,2.03
"CMIC","MICRO",FALSE,NA
"NMIC","MICRO",TRUE,1.09
"ALT","AGRO",TRUE,1.39
"DESP","AGRO",TRUE,1.42
"CESP","AGRO",TRUE,1.16
"STND","AGRO",TRUE,1.24
"NESP","YIELD",TRUE,1.24
"PESP","YIELD",TRUE,1.24
"PROD","YIELD",FALSE,NA
