Sistema,Cultura,Rep,pH,K_mg_dm3,P_mg_dm3,Ca_cmolc_dm3,Mg_cmolc_dm3,Al_cmolc_dm3,HAl_cmolc_dm3,SB_cmolc_dm3,T_cmolc_dm3,V_pct,m_pct,MOS_g_kg,EstN_kg_ha,DS_g_cm3,MI_pct,MA_pct,DMG_mm,VIB_mm_h,RP_KPa,AD_PT,qMIC,qCO2,CCO2_g_kg,CMIC_ug_g,NMIC_mg_kg,IQS,N_plantas_ha,Produtividade_espigas,Receita_Bruta,COT,Lucro_Operacional,PNP,PNC,ISSC
CC,Caupi,1,5.20,28.92,39.36,1.04,0.42,0.04,1.90,1.18,3.08,38.45,3.28,8.80,655.42,1.59,21.81,15.57,2.02,12.00,1.42,0.20,23.75,5.37,87.01,98.88,13.82,64.83,63715.28,27430.56,12159.97,8142.13,4017.83,18367.09,0.30,-0.41
CC,Caupi,2,5.80,28.92,41.71,1.07,0.65,0.05,1.68,1.79,3.47,51.70,2.72,10.40,708.88,1.52,18.45,15.67,2.14,12.00,1.21,0.24,18.52,4.78,100.12,75.13,15.10,69.63,62673.61,21875.00,9697.19,8112.58,1584.61,18300.43,0.37,-0.43
CC,Caupi,3,5.60,35.89,44.06,1.01,0.55,0.06,1.61,1.65,3.26,50.68,3.51,12.70,771.83,1.60,19.32,15.24,1.90,12.00,1.31,0.15,24.53,4.20,73.90,107.33,11.74,65.32,64756.94,23958.33,10620.73,8123.66,2497.07,18325.43,0.34,-0.43
CC,Guandu,1,6.10,28.92,36.23,1.46,0.98,0.05,1.30,2.56,3.86,66.33,1.92,12.90,686.38,1.67,20.82,10.69,1.89,12.00,0.88,0.25,12.27,15.04,119.68,48.52,3.67,57.57,56597.22,18576.39,8234.91,8602.38,-367.47,19405.33,0.46,-0.53
CC,Guandu,2,5.80,30.91,55.45,1.23,0.75,0.04,1.38,2.06,3.44,59.86,1.90,11.70,668.98,1.55,21.82,11.77,1.71,12.00,0.94,0.23,11.11,14.61,128.25,53.52,2.98,56.11,44618.06,19791.67,8773.65,8608.85,164.80,19419.91,0.43,-0.53
CC,Guandu,3,6.00,26.92,51.57,1.13,0.77,0.04,1.49,1.97,3.46,56.91,1.99,11.30,619.56,1.61,18.12,12.85,2.08,9.00,0.82,0.30,12.61,19.17,136.83,43.52,3.33,55.82,52083.33,17361.11,7696.18,8595.92,-899.74,19390.74,0.50,-0.53
CC,Crotalaria,1,5.90,34.90,44.96,1.38,0.91,0.06,1.26,2.38,3.64,65.37,2.46,13.70,792.90,1.64,23.55,11.56,2.51,13.50,0.93,0.17,16.52,5.64,62.72,67.78,2.42,63.44,51736.11,25781.25,11428.83,8059.37,3369.46,18180.39,0.31,-0.55
CC,Crotalaria,2,5.40,28.92,42.82,1.28,0.81,0.06,1.30,2.20,3.37,40.48,2.44,10.90,830.36,1.65,20.42,12.85,2.45,12.00,0.96,0.25,13.59,4.75,40.29,51.67,1.79,51.52,61111.11,26041.67,11544.27,8060.75,3483.52,18183.52,0.31,-0.48
CC,Crotalaria,3,6.20,31.91,48.67,1.18,0.71,0.05,1.33,2.02,3.35,60.16,2.42,11.20,769.52,1.73,24.93,12.20,2.48,15.00,0.88,0.26,16.17,5.20,17.85,59.73,1.16,63.04,64756.94,25520.83,11313.39,8057.98,3255.40,18177.27,0.32,-0.53
CC,Milheto,1,5.60,47.86,47.86,1.06,0.55,0.05,1.86,1.73,3.59,48.27,2.81,12.40,713.70,1.55,22.39,11.79,1.79,6.00,1.23,0.21,17.01,10.52,159.20,84.97,20.48,62.32,60069.44,24218.75,10736.17,7950.47,2785.71,17934.73,0.33,-0.54
CC,Milheto,2,6.00,45.86,45.86,1.23,0.71,0.05,1.50,2.06,3.56,57.80,2.37,13.70,800.18,1.68,21.35,11.51,1.71,6.00,0.94,0.27,15.20,10.08,200.61,63.95,18.51,57.92,63194.44,23263.89,10312.88,7945.39,2367.49,17923.27,0.34,-0.51
