Sistema,Cultura,Rep,pH,K_mg_dm3,P_mg_dm3,Ca_cmolc_dm3,Mg_cmolc_dm3,Al_cmolc_dm3,HAl_cmolc_dm3,SB_cmolc_dm3,T_cmolc_dm3,V_pct,m_pct,MOS_g_kg,EstN_kg_ha
CC,Caupi,1,5.20,28.92,39.36,1.04,0.42,0.04,1.90,1.18,3.08,38.45,3.28,8.80,655.42
CC,Caupi,2,5.80,28.92,41.71,1.07,0.65,0.05,1.68,1.79,3.47,51.70,2.72,10.40,708.88
CC,Caupi,3,5.60,35.89,44.06,1.01,0.55,0.06,1.61,1.65,3.26,50.68,3.51,12.70,771.83
CC,Guandu,1,6.10,28.92,36.23,1.46,0.98,0.05,1.30,2.56,3.86,66.33,1.92,12.90,686.38
CC,Guandu,2,5.80,30.91,55.45,1.23,0.75,0.04,1.38,2.06,3.44,59.86,1.90,11.70,668.98
CC,Guandu,3,6.00,26.92,51.57,1.13,0.77,0.04,1.49,1.97,3.46,56.91,1.99,11.30,619.56
CC,Crotalaria,1,5.90,34.90,44.96,1.38,0.91,0.06,1.26,2.38,3.64,65.37,2.46,13.70,792.90
CC,Crotalaria,2,5.40,28.92,42.82,1.28,0.81,0.06,1.30,2.20,3.37,40.48,2.44,10.90,830.36
CC,Crotalaria,3,6.20,31.91,48.67,1.18,0.71,0.05,1.33,2.02,3.35,60.16,2.42,11.20,769.52
CC,Milheto,1,5.60,47.86,47.86,1.06,0.55,0.05,1.86,1.73,3.59,48.27,2.81,12.40,713.70
CC,Milheto,2,6.00,45.86,45.86,1.23,0.71,0.05,1.50,2.06,3.56,57.80,2.37,13.70,800.18
CC,Milheto,3,6.10,34.90,37.44,1.14,0.71,0.06,1.56,1.94,3.46,56.05,3.00,12.70,893.88
CM,Caupi,1,6.20,22.94,33.93,1.31,0.84,0.04,1.32,2.21,3.53,62.57,1.78,14.80,912.45
CM,Caupi,2,5.50,20.94,37.14,1.01,0.66,0.04,1.48,1.72,3.87,44.54,1.89,13.00,846.10
CM,Caupi,3,6.20,21.94,48.82,1.15,0.71,0.04,1.64,1.96,3.60,54.37,2.00,14.60,906.94
CM,Guandu,1,6.10,28.92,36.43,1.37,0.91,0.04,1.56,2.35,3.91,60.21,2.36,15.00,913.31
CM,Guandu,2,6.30,23.93,33.84,1.21,0.92,0.06,1.23,2.19,3.42,64.07,2.67,14.80,912.17
CM,Guandu,3,5.80,26.43,28.64,1.32,0.98,0.05,1.70,2.40,4.10,58.47,2.04,17.40,1079.74
CM,Crotalaria,1,6.30,32.90,46.15,1.26,0.91,0.03,1.52,2.25,3.77,59.80,1.32,15.10,908.96
CM,Crotalaria,2,6.40,15.96,49.51,1.46,0.97,0.04,1.22,2.47,3.69,66.96,1.59,13.80,896.83
CM,Crotalaria,3,5.70,24.43,52.87,1.07,0.94,0.04,1.37,1.81,3.82,47.42,1.46,14.60,899.69
CM,Milheto,1,6.10,31.91,33.84,1.39,0.93,0.04,1.63,2.40,4.03,59.60,1.64,15.40,894.64
CM,Milheto,2,6.40,22.94,41.16,1.54,1.12,0.04,1.15,2.72,3.87,70.25,1.44,15.20,950.75
CM,Milheto,3,6.20,25.93,37.50,1.39,0.92,0.03,1.38,2.38,3.76,63.20,1.24,13.90,848.03
PD,Caupi,1,6.70,27.92,48.38,1.64,0.69,0.04,1.43,2.70,3.68,73.41,1.46,12.90,600.30
PD,Caupi,2,5.70,23.93,53.23,1.16,0.62,0.05,1.57,1.84,3.14,54.00,1.61,12.50,705.95
PD,Caupi,3,6.10,25.93,58.07,1.39,0.75,0.04,1.29,2.23,3.52,63.41,1.76,12.60,697.30
PD,Guandu,1,6.00,38.88,37.34,1.38,0.74,0.08,1.64,2.22,3.86,57.50,4.14,13.40,834.63
PD,Guandu,2,5.40,25.93,44.57,1.01,0.66,0.08,2.12,1.74,3.86,44.99,4.40,13.20,861.38
PD,Guandu,3,5.60,32.41,40.96,1.23,0.62,0.08,1.98,1.98,3.96,50.07,3.88,15.20,866.36
PD,Crotalaria,1,5.40,33.90,39.47,1.10,0.59,0.09,2.17,1.78,3.95,44.99,4.81,13.70,971.81
PD,Crotalaria,2,5.50,33.90,35.93,1.00,0.50,0.12,1.98,1.59,3.57,44.45,7.02,12.80,828.70
PD,Crotalaria,3,6.20,31.91,37.70,1.40,0.55,0.11,2.08,1.69,3.65,44.72,5.92,14.00,797.22
PD,Milheto,1,6.20,25.93,32.04,136.00,0.82,0.09,1.27,2.25,3.52,48.19,4.74,11.70,704.27
PD,Milheto,2,5.70,29.92,31.87,106.00,0.64,0.09,1.78,1.82,3.60,50.49,4.71,14.50,980.10
PD,Milheto,3,5.50,33.90,31.69,121.00,0.60,0.08,1.88,1.60,3.48,45.89,4.76,13.00,783.91
Mata,Mata,1,4.10,21.94,2.19,0.67,0.32,0.43,3.59,1.05,4.67,23.06,28.69,20.90,891.76
Mata,Mata,2,4.80,20.94,2.40,0.78,0.38,0.43,3.91,1.21,5.12,23.70,26.22,20.80,930.86
Mata,Mata,3,5.00,21.94,1.98,0.52,0.37,0.43,3.27,0.95,4.22,22.42,31.16,21.70,1006.08
