Sistema_Jaelson,Cultura_Jaelson,Parcela,Cultura,pH_0_5,pH_5_10,P_0_5,P_5_10,K_0_5,K_5_10,pH_0_10,P_0_10,K_0_10
PD,Caupi,NT,Cowpea,4.86,4.75,60.297,62.627,78.163,50.100,4.805,61.462,64.132
CM,Caupi,MT,Cowpea,5.00,4.99,66.473,47.290,121.233,59.200,4.995,56.882,90.217
CC,Caupi,CT,Cowpea,4.57,4.80,63.630,51.280,83.167,36.467,4.685,57.455,59.817
PD,Crotalaria,NT,Sunn hemp,4.97,5.35,52.557,38.150,112.800,63.200,5.160,45.354,88.000
CM,Crotalaria,MT,Sunn hemp,4.64,4.77,45.403,34.670,129.867,95.867,4.705,40.037,112.867
CC,Crotalaria,CT,Sunn hemp,4.59,4.74,51.283,49.483,89.033,57.133,4.665,50.383,73.083
PD,Guandu,NT,Pigeon pea,4.47,4.35,67.280,53.390,165.600,49.333,4.410,60.335,107.467
CM,Guandu,MT,Pigeon pea,4.14,4.56,55.963,38.517,121.533,64.100,4.350,47.240,92.817
CC,Guandu,CT,Pigeon pea,4.59,4.66,92.750,77.233,92.500,58.233,4.625,84.992,75.367
PD,Milheto,NT,Millet,5.66,5.03,51.480,46.480,101.033,74.933,5.345,48.980,87.983
CM,Milheto,MT,Millet,4.90,5.17,68.657,51.380,125.833,61.967,5.035,60.019,93.900
CC,Milheto,CT,Millet,4.61,4.63,69.960,74.070,85.200,43.630,4.620,72.015,64.415
